"group","trial_name","trial_type","video_name","trialID","feedback","target","distractor1","distractor2","distractor3"
1,"Type3comp_trial1","Type3comp","FuncComp_bleed_3_right.mp4",21,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
1,"Type3comp_trial2","Type3comp","FuncComp_bleed_3_left.mp4",22,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
1,"Type3comp_trial3","Type3comp","FuncComp_bleed_2_left.mp4",23,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
1,"Type3comp_trial4","Type3comp","FuncComp_bleed_2_right.mp4",24,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
1,"Type3comp_trial5","Type3comp","FuncComp_bleed_1_left.mp4",25,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
1,"Type3comp_trial6","Type3comp","FuncComp_bleed_1_right.mp4",26,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
2,"Type3comp_trial1","Type3comp","FuncComp_counterbleed_2_left.mp4",21,NA,"smashed_right_2.jpg","unsmashed_right_2.jpg","smashed_left_2.jpg","unsmashed_left_2.jpg"
2,"Type3comp_trial2","Type3comp","FuncComp_counterbleed_2_right.mp4",22,NA,"smashed_left_2.jpg","unsmashed_left_2.jpg","smashed_right_2.jpg","unsmashed_right_2.jpg"
2,"Type3comp_trial3","Type3comp","FuncComp_counterbleed_1_left.mp4",23,NA,"smashed_right_1.jpg","unsmashed_right_1.jpg","smashed_left_1.jpg","unsmashed_left_1.jpg"
2,"Type3comp_trial4","Type3comp","FuncComp_counterbleed_1_right.mp4",24,NA,"smashed_left_1.jpg","unsmashed_left_1.jpg","smashed_right_1.jpg","unsmashed_right_1.jpg"
2,"Type3comp_trial5","Type3comp","FuncComp_counterbleed_3_right.mp4",25,NA,"smashed_left_3.jpg","unsmashed_left_3.jpg","smashed_right_3.jpg","unsmashed_right_3.jpg"
2,"Type3comp_trial6","Type3comp","FuncComp_counterbleed_3_left.mp4",26,NA,"smashed_right_3.jpg","unsmashed_right_3.jpg","smashed_left_3.jpg","unsmashed_left_3.jpg"
3,"Type3comp_trial1","Type3comp","FuncComp_bleed_1_right.mp4",21,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
3,"Type3comp_trial2","Type3comp","FuncComp_bleed_1_left.mp4",22,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
3,"Type3comp_trial3","Type3comp","FuncComp_bleed_2_right.mp4",23,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
3,"Type3comp_trial4","Type3comp","FuncComp_bleed_2_left.mp4",24,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
3,"Type3comp_trial5","Type3comp","FuncComp_bleed_3_right.mp4",25,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
3,"Type3comp_trial6","Type3comp","FuncComp_bleed_3_left.mp4",26,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
4,"Type3comp_trial1","Type3comp","FuncComp_counterbleed_3_left.mp4",21,NA,"smashed_right_3.jpg","unsmashed_right_3.jpg","smashed_left_3.jpg","unsmashed_left_3.jpg"
4,"Type3comp_trial2","Type3comp","FuncComp_counterbleed_3_right.mp4",22,NA,"smashed_left_3.jpg","unsmashed_left_3.jpg","smashed_right_3.jpg","unsmashed_right_3.jpg"
4,"Type3comp_trial3","Type3comp","FuncComp_counterbleed_1_left.mp4",23,NA,"smashed_right_1.jpg","unsmashed_right_1.jpg","smashed_left_1.jpg","unsmashed_left_1.jpg"
4,"Type3comp_trial4","Type3comp","FuncComp_counterbleed_1_right.mp4",24,NA,"smashed_left_1.jpg","unsmashed_left_1.jpg","smashed_right_1.jpg","unsmashed_right_1.jpg"
4,"Type3comp_trial5","Type3comp","FuncComp_counterbleed_2_left.mp4",25,NA,"smashed_right_2.jpg","unsmashed_right_2.jpg","smashed_left_2.jpg","unsmashed_left_2.jpg"
4,"Type3comp_trial6","Type3comp","FuncComp_counterbleed_2_right.mp4",26,NA,"smashed_left_2.jpg","unsmashed_left_2.jpg","smashed_right_2.jpg","unsmashed_right_2.jpg"
